iter	Passed	Remaining
0	3	1534
1	5	1458
2	8	1394
3	10	1326
4	13	1315
5	15	1292
6	18	1333
7	21	1308
8	24	1321
9	26	1295
10	28	1276
11	31	1271
12	33	1236
13	34	1203
14	36	1173
15	37	1142
16	39	1112
17	40	1084
18	41	1056
19	42	1028
20	43	1002
21	45	978
22	46	955
23	47	933
24	48	912
25	48	890
26	49	870
27	50	851
28	51	832
29	52	815
30	52	798
31	53	781
32	54	765
33	54	749
34	55	734
35	55	719
36	56	706
37	57	693
38	57	680
39	58	667
40	58	655
41	59	643
42	59	632
43	60	621
44	60	611
45	60	601
46	61	592
47	62	583
48	62	575
49	62	566
50	63	558
51	63	550
52	64	543
53	64	535
54	65	529
55	66	523
56	66	518
57	67	512
58	67	507
59	68	501
60	68	495
61	69	489
62	69	484
63	70	479
64	70	473
65	71	468
66	71	463
67	72	459
68	72	454
69	73	450
70	73	446
71	74	441
72	74	437
73	75	433
74	75	429
75	76	426
76	76	422
77	77	419
78	78	416
79	78	412
80	79	409
81	79	406
82	80	404
83	81	401
84	81	398
85	82	394
86	82	391
87	83	388
88	83	385
89	84	382
90	84	380
91	85	377
92	85	374
93	86	372
94	86	369
95	87	366
96	87	363
97	88	361
98	88	359
99	89	356
100	89	354
101	90	352
102	90	349
103	91	347
104	91	345
105	92	342
106	92	340
107	93	338
108	93	336
109	94	333
110	94	331
111	95	329
112	95	327
113	96	325
114	96	323
115	97	321
116	97	319
117	98	317
118	98	316
119	99	314
120	99	312
121	100	311
122	100	309
123	101	307
124	101	305
125	102	304
126	102	302
127	103	300
128	104	300
129	104	298
130	105	296
131	105	295
132	106	293
133	107	292
134	107	290
135	108	289
136	108	287
137	109	285
138	109	284
139	110	282
140	110	281
141	111	280
142	111	278
143	112	277
144	112	275
145	113	274
146	113	272
147	114	271
148	114	270
149	115	269
150	115	267
151	116	266
152	116	265
153	117	264
154	118	262
155	118	261
156	119	260
157	119	259
158	120	257
159	120	256
160	121	255
161	122	254
162	122	253
163	122	251
164	123	250
165	123	249
166	124	248
167	124	246
168	125	245
169	126	244
170	126	243
171	127	242
172	127	241
173	128	240
174	128	239
175	129	238
176	129	236
177	130	235
178	130	234
179	131	233
180	131	232
181	132	231
182	132	230
183	133	229
184	133	228
185	134	226
186	134	225
187	135	224
188	135	223
189	136	222
190	136	221
191	137	220
192	137	219
193	138	218
194	139	217
195	139	216
196	140	215
197	140	214
198	141	213
199	141	212
200	142	211
201	142	210
202	142	209
203	143	208
204	143	207
205	144	206
206	144	205
207	145	204
208	145	203
209	146	202
210	146	201
211	147	200
212	147	199
213	148	198
214	148	197
215	149	196
216	149	195
217	150	194
218	150	193
219	151	192
220	151	191
221	152	190
222	152	189
223	153	188
224	153	187
225	154	187
226	154	186
227	155	185
228	155	184
229	156	183
230	156	182
231	157	181
232	157	180
233	158	179
234	158	178
235	159	177
236	159	177
237	160	176
238	160	175
239	161	174
240	161	173
241	162	172
242	162	171
243	163	171
244	163	170
245	164	169
246	164	168
247	165	167
248	166	167
249	166	166
250	167	165
251	167	165
252	168	164
253	168	163
254	169	162
255	170	162
256	170	161
257	171	160
258	172	160
259	172	159
260	173	158
261	173	158
262	174	157
263	174	156
264	175	155
265	175	154
266	176	153
267	176	153
268	177	152
269	177	151
270	178	150
271	179	150
272	179	149
273	180	148
274	180	147
275	181	147
276	181	146
277	182	145
278	183	144
279	183	144
280	184	143
281	184	142
282	185	141
283	185	141
284	186	140
285	186	139
286	187	138
287	187	138
288	188	137
289	188	136
290	189	135
291	189	135
292	190	134
293	190	133
294	191	132
295	191	132
296	192	131
297	192	130
298	193	129
299	193	129
300	194	128
301	194	127
302	195	126
303	195	126
304	196	125
305	196	124
306	197	123
307	197	123
308	198	122
309	198	121
310	199	121
311	199	120
312	200	119
313	200	119
314	201	118
315	202	117
316	202	116
317	203	116
318	203	115
319	203	114
320	204	114
321	204	113
322	205	112
323	205	111
324	206	111
325	206	110
326	207	109
327	207	109
328	208	108
329	208	107
330	209	106
331	210	106
332	210	105
333	211	104
334	211	104
335	212	103
336	212	102
337	213	102
338	213	101
339	214	100
340	214	100
341	215	99
342	215	98
343	216	97
344	216	97
345	217	96
346	217	95
347	218	95
348	218	94
349	219	93
350	219	93
351	220	92
352	220	91
353	221	91
354	221	90
355	222	89
356	222	89
357	223	88
358	223	87
359	224	87
360	224	86
361	225	85
362	225	85
363	226	84
364	226	83
365	227	83
366	227	82
367	228	81
368	228	81
369	229	80
370	229	79
371	230	79
372	230	78
373	230	77
374	231	77
375	231	76
376	232	75
377	232	75
378	233	74
379	233	73
380	234	73
381	235	72
382	235	72
383	236	71
384	236	70
385	237	70
386	237	69
387	238	68
388	238	68
389	239	67
390	239	66
391	240	66
392	240	65
393	241	64
394	241	64
395	242	63
396	242	62
397	243	62
398	243	61
399	244	61
400	244	60
401	245	59
402	245	59
403	246	58
404	246	57
405	247	57
406	247	56
407	248	55
408	248	55
409	249	54
410	249	54
411	250	53
412	250	52
413	251	52
414	251	51
415	252	50
416	252	50
417	253	49
418	253	49
419	254	48
420	254	47
421	255	47
422	255	46
423	255	45
424	256	45
425	257	44
426	257	44
427	258	43
428	258	42
429	258	42
430	259	41
431	259	40
432	260	40
433	260	39
434	261	39
435	261	38
436	262	37
437	263	37
438	263	36
439	264	36
440	264	35
441	265	34
442	265	34
443	266	33
444	266	32
445	267	32
446	267	31
447	268	31
448	268	30
449	269	29
450	269	29
451	270	28
452	270	28
453	271	27
454	271	26
455	272	26
456	272	25
457	273	25
458	273	24
459	274	23
460	274	23
461	275	22
462	275	22
463	276	21
464	276	20
465	277	20
466	277	19
467	278	19
468	278	18
469	279	17
470	279	17
471	280	16
472	280	16
473	281	15
474	281	14
475	282	14
476	282	13
477	282	13
478	283	12
479	283	11
480	284	11
481	284	10
482	285	10
483	285	9
484	286	8
485	286	8
486	287	7
487	287	7
488	288	6
489	288	5
490	289	5
491	289	4
492	290	4
493	290	3
494	291	2
495	291	2
496	292	1
497	292	1
498	293	0
499	293	0
